Date,Day,State,Weekday
2025-04-18,Good Friday,ACT,Friday
2025-04-21,Easter Monday,ACT,Monday
2025-01-01,New Year's Day,ACT,Wednesday
2025-01-27,Australia Day,ACT,Monday
2025-03-10,Canberra Day,ACT,Monday
2025-04-25,ANZAC Day,ACT,Friday
2025-04-19,Easter Saturday,ACT,Saturday
2025-04-20,Easter Sunday,ACT,Sunday
2025-06-02,Reconciliation Day,ACT,Monday
2025-06-09,King's Birthday,ACT,Monday
2025-10-06,Labour Day,ACT,Monday
2025-12-26,Boxing Day,ACT,Friday
2025-12-25,Christmas Day,ACT,Thursday
2026-04-03,Good Friday,ACT,Friday
2026-04-06,Easter Monday,ACT,Monday
2026-01-01,New Year's Day,ACT,Thursday
2026-01-26,Australia Day,ACT,Monday
2026-03-09,Canberra Day,ACT,Monday
2026-04-25,ANZAC Day,ACT,Saturday
2026-04-04,Easter Saturday,ACT,Saturday
2026-04-05,Easter Sunday,ACT,Sunday
2026-06-01,Reconciliation Day,ACT,Monday
2026-06-08,King's Birthday,ACT,Monday
2026-10-05,Labour Day,ACT,Monday
2026-12-26,Boxing Day,ACT,Saturday
2026-12-28,Boxing Day (observed),ACT,Monday
2026-12-25,Christmas Day,ACT,Friday
2027-03-26,Good Friday,ACT,Friday
2027-03-29,Easter Monday,ACT,Monday
2027-01-01,New Year's Day,ACT,Friday
2027-01-26,Australia Day,ACT,Tuesday
2027-03-08,Canberra Day,ACT,Monday
2027-04-26,ANZAC Day,ACT,Monday
2027-03-27,Easter Saturday,ACT,Saturday
2027-03-28,Easter Sunday,ACT,Sunday
2027-05-31,Reconciliation Day,ACT,Monday
2027-06-14,King's Birthday,ACT,Monday
2027-10-04,Labour Day,ACT,Monday
2027-12-26,Boxing Day,ACT,Sunday
2027-12-28,Boxing Day (observed),ACT,Tuesday
2027-12-25,Christmas Day,ACT,Saturday
2027-12-27,Christmas Day (observed),ACT,Monday
2028-04-14,Good Friday,ACT,Friday
2028-04-17,Easter Monday,ACT,Monday
2028-01-01,New Year's Day,ACT,Saturday
2028-01-03,New Year's Day (observed),ACT,Monday
2028-01-26,Australia Day,ACT,Wednesday
2028-03-13,Canberra Day,ACT,Monday
2028-04-25,ANZAC Day,ACT,Tuesday
2028-04-15,Easter Saturday,ACT,Saturday
2028-04-16,Easter Sunday,ACT,Sunday
2028-05-29,Reconciliation Day,ACT,Monday
2028-06-12,King's Birthday,ACT,Monday
2028-10-02,Labour Day,ACT,Monday
2028-12-26,Boxing Day,ACT,Tuesday
2028-12-25,Christmas Day,ACT,Monday
2025-04-18,Good Friday,NSW,Friday
2025-04-21,Easter Monday,NSW,Monday
2025-01-01,New Year's Day,NSW,Wednesday
2025-01-27,Australia Day,NSW,Monday
