Date,Day,State,Weekday
2025-04-18,Good Friday,NSW,Friday
2025-04-21,Easter Monday,NSW,Monday
2025-01-01,New Year's Day,NSW,Wednesday
2025-01-27,Australia Day,NSW,Monday
2025-04-19,Easter Saturday,NSW,Saturday
2025-04-20,Easter Sunday,NSW,Sunday
2025-04-25,ANZAC Day,NSW,Friday
2025-10-06,Labour Day,NSW,Monday
2025-06-09,King's Birthday,NSW,Monday
2025-12-25,Christmas Day,NSW,Thursday
2025-12-26,Boxing Day,NSW,Friday
2026-04-03,Good Friday,NSW,Friday
2026-04-06,Easter Monday,NSW,Monday
2026-01-01,New Year's Day,NSW,Thursday
2026-01-26,Australia Day,NSW,Monday
2026-04-04,Easter Saturday,NSW,Saturday
2026-04-05,Easter Sunday,NSW,Sunday
2026-04-25,ANZAC Day,NSW,Saturday
2026-10-05,Labour Day,NSW,Monday
2026-06-08,King's Birthday,NSW,Monday
2026-12-25,Christmas Day,NSW,Friday
2026-12-26,Boxing Day,NSW,Saturday
2026-12-28,Boxing Day (observed),NSW,Monday
2027-03-26,Good Friday,NSW,Friday
2027-03-29,Easter Monday,NSW,Monday
2027-01-01,New Year's Day,NSW,Friday
2027-01-26,Australia Day,NSW,Tuesday
2027-03-27,Easter Saturday,NSW,Saturday
2027-03-28,Easter Sunday,NSW,Sunday
2027-04-25,ANZAC Day,NSW,Sunday
2027-10-04,Labour Day,NSW,Monday
2027-06-14,King's Birthday,NSW,Monday
2027-12-25,Christmas Day,NSW,Saturday
2027-12-27,Christmas Day (observed),NSW,Monday
2027-12-26,Boxing Day,NSW,Sunday
2027-12-28,Boxing Day (observed),NSW,Tuesday
2028-04-14,Good Friday,NSW,Friday
2028-04-17,Easter Monday,NSW,Monday
2028-01-01,New Year's Day,NSW,Saturday
2028-01-03,New Year's Day (observed),NSW,Monday
2028-01-26,Australia Day,NSW,Wednesday
2028-04-15,Easter Saturday,NSW,Saturday
2028-04-16,Easter Sunday,NSW,Sunday
2028-04-25,ANZAC Day,NSW,Tuesday
2028-10-02,Labour Day,NSW,Monday
2028-06-12,King's Birthday,NSW,Monday
2028-12-25,Christmas Day,NSW,Monday
2028-12-26,Boxing Day,NSW,Tuesday
